attribute,year,level
Liveness,2006,0.205022258
Liveness,2007,0.212292532
Liveness,2008,0.235392339
Liveness,2009,0.215056738
Liveness,2010,0.208606128
Liveness,2011,0.196690663
Liveness,2012,0.219476104
Liveness,2013,0.216121785
Liveness,2014,0.219472261
Liveness,2015,0.197840822
Liveness,2016,0.221963923
Liveness,2017,0.231028988
Liveness,2018,0.234826414
Liveness,2019,0.219892367
Liveness,2020,0.24392051
Loudness,1920,-12.78068224
Loudness,1921,-16.23848276
Loudness,1922,-20.76588235
Loudness,1923,-14.22895238
Loudness,1924,-14.1023945
Loudness,1925,-14.103604
Loudness,1926,-18.60738345
Loudness,1927,-15.55962074
Loudness,1928,-15.98667551
Loudness,1929,-16.58850641
Loudness,1930,-12.91953994
Loudness,1931,-16.59991045
Loudness,1932,-16.66108188
Loudness,1933,-13.13966238
Loudness,1934,-14.81746875
Loudness,1935,-15.42502463
Loudness,1936,-19.56221459
Loudness,1937,-13.01520615
Loudness,1938,-14.14984111
Loudness,1939,-13.85845262
Loudness,1940,-13.73400833
Loudness,1941,-15.27707184
Loudness,1942,-14.93076404
Loudness,1943,-13.51313663
Loudness,1944,-14.54084282
Loudness,1945,-16.69247703
Loudness,1946,-16.50662632
Loudness,1947,-14.24464033
Loudness,1948,-15.00512341
Loudness,1949,-15.37985674
Loudness,1950,-14.46367953
Loudness,1951,-15.53438064
Loudness,1952,-15.69810081
Loudness,1953,-15.40223877
Loudness,1954,-15.35249725
Loudness,1955,-14.33005238
Loudness,1956,-14.10438565
Loudness,1957,-14.28373493
Loudness,1958,-14.21693896
Loudness,1959,-14.25555434
Loudness,1960,-13.85130357
Loudness,1961,-14.10228786
Loudness,1962,-13.15330032
Loudness,1963,-13.2155339
Loudness,1964,-12.74888449
Loudness,1965,-12.04479763
Loudness,1966,-11.38298553
Loudness,1967,-11.86450221
Loudness,1968,-12.1035
Loudness,1969,-12.00039572
Loudness,1970,-11.81245927
Loudness,1971,-12.28471733
Loudness,1972,-11.89403728
Loudness,1973,-11.32139271
Loudness,1974,-11.8236437
Loudness,1975,-11.4404848
Loudness,1976,-11.2418157
Loudness,1977,-11.20041124
Loudness,1978,-11.12298845
Loudness,1979,-11.03707772
Loudness,1980,-10.6518504
Loudness,1981,-11.00766133
Loudness,1982,-11.16203012
Loudness,1983,-11.51164837
Loudness,1984,-11.74785077
Loudness,1985,-11.39635938
Loudness,1986,-11.30134179
Loudness,1987,-12.0671538
Loudness,1988,-11.76949725
Loudness,1989,-11.56007131
Loudness,1990,-11.52774323
Loudness,1991,-11.24073854
Loudness,1992,-10.76432903
Loudness,1993,-11.08691136
Loudness,1994,-10.6923379
Loudness,1995,-10.36431534
Loudness,1996,-9.569671752
Loudness,1997,-9.221382011
Loudness,1998,-9.125143836
Loudness,1999,-8.47073302
Loudness,2000,-8.494789762
Loudness,2001,-7.88289357
Loudness,2002,-8.092949116
Loudness,2003,-7.818270906
Loudness,2004,-7.336473196
Loudness,2005,-8.29726013
Loudness,2006,-8.003657393
Loudness,2007,-7.350793831
Loudness,2008,-7.504757966
Loudness,2009,-7.463903939
Loudness,2010,-7.912817297
Loudness,2011,-8.130422289
Loudness,2012,-7.689647225
Loudness,2013,-8.35154662
Loudness,2014,-7.839916335
Loudness,2015,-8.947144395
Loudness,2016,-7.955402392
Loudness,2017,-7.916047307
Loudness,2018,-8.160672052
Loudness,2019,-8.46418599
Loudness,2020,-8.095554171
Popularity,1920,0.663551402
Popularity,1921,0.413793103
Popularity,1922,0.092436975
Popularity,1923,5.214285714
Popularity,1924,0.711009174
Popularity,1925,2.64
Popularity,1926,1.431587838
Popularity,1927,0.713068182
Popularity,1928,1.523469388
Popularity,1929,0.261752137
Popularity,1930,0.88611898
Popularity,1931,0.223880597
Popularity,1932,1.601342282
Popularity,1933,6.408360129
Popularity,1934,1.191176471
Popularity,1935,1.312250333
Popularity,1936,2.356762513
Popularity,1937,3.179023508
Popularity,1938,1.974093264
Popularity,1939,3.807134894
Popularity,1940,0.857301499
Popularity,1941,1.296465222
Popularity,1942,1.226701917
Popularity,1943,1.036337209
Popularity,1944,2.929539295
Popularity,1945,2.096426546
Popularity,1946,1.523684211
Popularity,1947,1.646114322
Popularity,1948,1.507531866
Popularity,1949,3.749721293
Popularity,1950,3.787414067
Popularity,1951,3.444263187
Popularity,1952,3.480216802
Popularity,1953,3.623714131
Popularity,1954,7.710121012
Popularity,1955,9.867170626
Popularity,1956,15.88403452
Popularity,1957,20.06518197
Popularity,1958,19.32218684
Popularity,1959,20.88529089
Popularity,1960,19.86958874
Popularity,1961,19.56498389
Popularity,1962,21.99892934
Popularity,1963,25.27068873
Popularity,1964,25.78796095
Popularity,1965,27.58127018
Popularity,1966,31.10544452
Popularity,1967,31.62651934
Popularity,1968,31.25786164
Popularity,1969,32.73545554
Popularity,1970,34.3827228
Popularity,1971,34.23236741
Popularity,1972,34.26973684
Popularity,1973,36.40601504
Popularity,1974,31.97275641
Popularity,1975,34.44746667
Popularity,1976,35.4922049
Popularity,1977,35.71118531
Popularity,1978,35.42939633
Popularity,1979,36.02228261
Popularity,1980,35.26259947
Popularity,1981,35.44746667
Popularity,1982,35.83270576
Popularity,1983,36.19347826
Popularity,1984,37.4873348
Popularity,1985,36.97547062
Popularity,1986,37.28509719
Popularity,1987,39.25799338
Popularity,1988,39.08855886
Popularity,1989,38.70070232
Popularity,1990,40.13217768
Popularity,1991,39.27239583
Popularity,1992,42.53688745
Popularity,1993,42.46656051
Popularity,1994,44.72298409
Popularity,1995,44.35542491
Popularity,1996,44.08416623
Popularity,1997,44.76137566
Popularity,1998,44.76659642
Popularity,1999,45.21786834
Popularity,2000,46.26965265
Popularity,2001,51.32039911
Popularity,2002,45.66309588
Popularity,2003,45.70209059
Popularity,2004,48.4628866
Popularity,2005,41.97568882
Popularity,2006,43.3163752
Popularity,2007,42.99107143
Popularity,2008,36.86169492
Popularity,2009,36.9170698
Popularity,2010,30.76231386
Popularity,2011,32.75180723
Popularity,2012,32.12231031
Popularity,2013,26.41228458
Popularity,2014,30.25896414
Popularity,2015,31.63778757
Popularity,2016,31.77320574
Popularity,2017,33.20634122
Popularity,2018,28.84491115
Popularity,2019,34.63913043
Popularity,2020,26.96031286
Speechiness,1920,0.086486604
Speechiness,1921,0.081845517
Speechiness,1922,0.470957143
Speechiness,1923,0.0947875
Speechiness,1924,0.095223853
Speechiness,1925,0.1103896
Speechiness,1926,0.527339527
Speechiness,1927,0.275287216
Speechiness,1928,0.19067051
Speechiness,1929,0.496670833
Speechiness,1930,0.123654561
Speechiness,1931,0.464531557
Speechiness,1932,0.436684161
Speechiness,1933,0.094534084
Speechiness,1934,0.104929044
Speechiness,1935,0.367028029
Speechiness,1936,0.663822684
Speechiness,1937,0.092077758
Speechiness,1938,0.089466839
Speechiness,1939,0.134933779
Speechiness,1940,0.258859467
Speechiness,1941,0.095872748
Speechiness,1942,0.088389095
Speechiness,1943,0.106458721
Speechiness,1944,0.177681978
Speechiness,1945,0.335536642
Speechiness,1946,0.0926275
Speechiness,1947,0.103628067
Speechiness,1948,0.17825226
Speechiness,1949,0.108476198
Speechiness,1950,0.261904178
Speechiness,1951,0.111058999
Speechiness,1952,0.145452249
Speechiness,1953,0.09557791
Speechiness,1954,0.108484708
Speechiness,1955,0.101023596
