Country,Date,Song_Title,Artist,Streams,Rank
United States,2020-02-02,Life Is Good (feat. Drake),Future,"1,663,009",2
United States,2020-02-02,Godzilla (feat. Juice WRLD),Eminem,"1,199,533",3
United States,2020-02-02,ROXANNE,Arizona Zervas,"1,164,908",4
United States,2020-02-02,Blinding Lights,The Weeknd,"953,436",5
United States,2020-02-02,Falling,Trevor Daniel,"950,332",6
United States,2020-02-02,Suicidal,YNW Melly,"920,822",7
United States,2020-02-02,Circles,Post Malone,"914,297",8
United States,2020-02-02,Dance Monkey,Tones And I,"869,073",9
United States,2020-02-02,everything i wanted,Billie Eilish,"868,802",10
United States,2020-02-03,The Box,Roddy Ricch,"2,556,650",1
United States,2020-02-03,Life Is Good (feat. Drake),Future,"1,617,362",2
United States,2020-02-03,Godzilla (feat. Juice WRLD),Eminem,"1,177,817",3
United States,2020-02-03,ROXANNE,Arizona Zervas,"1,029,440",4
United States,2020-02-03,Blinding Lights,The Weeknd,"971,440",5
United States,2020-02-03,Falling,Trevor Daniel,"932,347",6
United States,2020-02-03,Circles,Post Malone,"910,061",7
United States,2020-02-03,everything i wanted,Billie Eilish,"899,361",8
United States,2020-02-03,Suicidal,YNW Melly,"881,171",9
United States,2020-02-03,High Fashion (feat. Mustard),Roddy Ricch,"867,858",10
United States,2020-02-04,The Box,Roddy Ricch,"2,698,320",1
United States,2020-02-04,Life Is Good (feat. Drake),Future,"1,711,368",2
United States,2020-02-04,Godzilla (feat. Juice WRLD),Eminem,"1,242,188",3
United States,2020-02-04,ROXANNE,Arizona Zervas,"1,086,100",4
United States,2020-02-04,Blinding Lights,The Weeknd,"1,034,259",5
United States,2020-02-04,Falling,Trevor Daniel,"990,085",6
United States,2020-02-04,Circles,Post Malone,"972,899",7
United States,2020-02-04,High Fashion (feat. Mustard),Roddy Ricch,"960,712",8
United States,2020-02-04,everything i wanted,Billie Eilish,"949,018",9
United States,2020-02-04,BOP,DaBaby,"933,844",10
United States,2020-02-05,The Box,Roddy Ricch,"2,668,036",1
United States,2020-02-05,Life Is Good (feat. Drake),Future,"1,666,622",2
United States,2020-02-05,Godzilla (feat. Juice WRLD),Eminem,"1,203,036",3
United States,2020-02-05,ROXANNE,Arizona Zervas,"1,075,982",4
United States,2020-02-05,Blinding Lights,The Weeknd,"1,011,285",5
United States,2020-02-05,Falling,Trevor Daniel,"981,163",6
United States,2020-02-05,High Fashion (feat. Mustard),Roddy Ricch,"959,569",7
United States,2020-02-05,Circles,Post Malone,"958,891",8
United States,2020-02-05,everything i wanted,Billie Eilish,"927,810",9
United States,2020-02-05,BOP,DaBaby,"923,602",10
United States,2020-02-06,The Box,Roddy Ricch,"2,661,937",1
United States,2020-02-06,Life Is Good (feat. Drake),Future,"1,644,074",2
United States,2020-02-06,Godzilla (feat. Juice WRLD),Eminem,"1,172,963",3
United States,2020-02-06,ROXANNE,Arizona Zervas,"1,076,857",4
United States,2020-02-06,Blinding Lights,The Weeknd,"998,867",5
United States,2020-02-06,Falling,Trevor Daniel,"978,911",6
United States,2020-02-06,Circles,Post Malone,"964,394",7
United States,2020-02-06,High Fashion (feat. Mustard),Roddy Ricch,"958,366",8
United States,2020-02-06,everything i wanted,Billie Eilish,"923,055",9
United States,2020-02-06,BOP,DaBaby,"916,849",10
United States,2020-02-07,The Box,Roddy Ricch,"2,818,997",1
United States,2020-02-07,Life Is Good (feat. Drake),Future,"1,755,427",2
United States,2020-02-07,Intentions,"Justin Bieber, Quavo","1,317,941",3
United States,2020-02-07,ROXANNE,Arizona Zervas,"1,144,244",4
United States,2020-02-07,Godzilla (feat. Juice WRLD),Eminem,"1,136,250",5
United States,2020-02-07,High Fashion (feat. Mustard),Roddy Ricch,"1,076,062",6
United States,2020-02-07,Run,Joji,"1,068,088",7
United States,2020-02-07,Blinding Lights,The Weeknd,"1,047,542",8
United States,2020-02-07,Falling,Trevor Daniel,"999,977",9
United States,2020-02-07,Circles,Post Malone,"993,932",10
United States,2020-02-08,The Box,Roddy Ricch,"2,920,586",1
United States,2020-02-08,Life Is Good (feat. Drake),Future,"1,717,854",2
United States,2020-02-08,Intentions,"Justin Bieber, Quavo","1,214,109",3
United States,2020-02-08,ROXANNE,Arizona Zervas,"1,197,394",4
United States,2020-02-08,High Fashion (feat. Mustard),Roddy Ricch,"1,066,864",5
United States,2020-02-08,Godzilla (feat. Juice WRLD),Eminem,"1,033,853",6
United States,2020-02-08,Blinding Lights,The Weeknd,"1,033,236",7
United States,2020-02-08,Falling,Trevor Daniel,"1,013,716",8
United States,2020-02-08,Don't Start Now,Dua Lipa,"986,983",9
United States,2020-02-08,Circles,Post Malone,"951,609",10
United States,2020-02-09,The Box,Roddy Ricch,"2,588,967",1
United States,2020-02-09,Life Is Good (feat. Drake),Future,"1,514,495",2
United States,2020-02-09,ROXANNE,Arizona Zervas,"1,089,903",3
